cell,leiden_final
475,Smooth Muscle
476,Telocyte
477,Smooth Muscle
478,Stromal
479,Macrophage + DC
480,Enterocyte (Bottom Villus)
481,Stem + TA
482,Smooth Muscle
483,Stem + TA
484,Enterocyte (Bottom Villus)
485,Stem + TA
486,Telocyte
487,Goblet
488,B (Plasma)
489,Stem + TA
490,Smooth Muscle
491,Stem + TA
492,Stem + TA
493,Smooth Muscle
494,Stem + TA
495,Stromal
496,Stem + TA
497,Stem + TA
498,Stem + TA
499,Stem + TA
500,Smooth Muscle
501,Telocyte
502,Enterocyte (Bottom Villus)
503,B (Plasma)
504,Goblet
505,T (CD4+)
506,Enterocyte (Bottom Villus)
507,Smooth Muscle
508,Smooth Muscle
509,Goblet
510,Stem + TA
511,Stem + TA
512,Stem + TA
513,Stromal
514,Removed
515,Enterocyte (Bottom Villus)
516,Stromal
517,Enterocyte (Mid Villus)
518,T (CD4+)
519,Smooth Muscle
520,Smooth Muscle
521,Stem + TA
522,Enterocyte (Bottom Villus)
523,Removed
524,Smooth Muscle
525,Stromal
526,Stromal
527,Stem + TA
528,Smooth Muscle
529,Smooth Muscle
530,Enterocyte (Bottom Villus)
531,Stem + TA
532,Enterocyte (Bottom Villus)
533,Smooth Muscle
534,Stem + TA
535,Stromal
536,Enterocyte (Bottom Villus)
537,Stem + TA
538,Stem + TA
539,Stem + TA
540,Enterocyte (Bottom Villus)
541,Enterocyte (Bottom Villus)
542,Stem + TA
543,Enterocyte (Bottom Villus)
544,Stem + TA
545,Smooth Muscle
546,Paneth
547,T (CD4+)
548,Stromal
549,Smooth Muscle
550,B (Plasma)
551,Stromal
552,Enterocyte (Bottom Villus)
553,Stem + TA
554,Enterocyte (Mid Villus)
555,Stem + TA
556,Smooth Muscle
557,Enterocyte (Bottom Villus)
558,Stem + TA
559,Stem + TA
560,Smooth Muscle
561,Enterocyte (Bottom Villus)
562,Telocyte
563,Stromal
564,Smooth Muscle
565,Smooth Muscle
566,Removed
567,Stem + TA
568,Smooth Muscle
569,Smooth Muscle
570,Smooth Muscle
571,Enterocyte (Bottom Villus)
572,Stem + TA
573,Stem + TA
574,T (CD4+)
575,Enterocyte (Mid Villus)
576,Enterocyte (Mid Villus)
577,Endothelial
578,Stem + TA
579,Stem + TA
580,Removed
581,Smooth Muscle
582,Enterocyte (Bottom Villus)
583,Smooth Muscle
584,Enterocyte (Bottom Villus)
585,Stem + TA
586,Goblet
587,Enterocyte (Bottom Villus)
588,Goblet
589,Goblet
590,Stem + TA
591,Stem + TA
592,Stromal
593,Enterocyte (Bottom Villus)
594,Goblet
595,Enterocyte (Mid Villus)
596,Enterocyte (Bottom Villus)
597,Enterocyte (Bottom Villus)
598,Enterocyte (Bottom Villus)
599,Enterocyte (Bottom Villus)
600,Enterocyte (Bottom Villus)
601,Stem + TA
602,Smooth Muscle
603,Smooth Muscle
604,T (CD4+)
605,Goblet
606,Stem + TA
607,Enterocyte (Bottom Villus)
608,Stromal
609,Goblet
610,Enterocyte (Mid Villus)
611,Stem + TA
612,Stem + TA
613,Stromal
614,Stem + TA
615,Smooth Muscle
616,Paneth
617,Enterocyte (Bottom Villus)
618,Stem + TA
619,Endothelial
620,Stem + TA
621,Stem + TA
622,Stem + TA
623,Removed
624,Stem + TA
625,ICC
626,Enterocyte (Bottom Villus)
627,Goblet
628,Enterocyte (Bottom Villus)
629,Enterocyte (Bottom Villus)
630,Smooth Muscle
631,Enterocyte (Mid Villus)
632,Smooth Muscle
633,Enterocyte (Bottom Villus)
634,Stem + TA
635,Enterocyte (Bottom Villus)
636,Macrophage + DC
637,Stem + TA
638,Goblet
639,Goblet
640,Smooth Muscle
641,Stem + TA
642,Enterocyte (Mid Villus)
643,Stromal
644,Stem + TA
645,Removed
646,Enterocyte (Bottom Villus)
647,Endothelial
648,Goblet
649,Smooth Muscle
650,Stem + TA
651,Stromal
652,Goblet
653,B (Plasma)
654,Stem + TA
655,Stromal
656,Enterocyte (Bottom Villus)
657,Stromal
658,Stem + TA
659,Telocyte
660,Goblet
661,Stromal
662,Stem + TA
663,Enterocyte (Bottom Villus)
664,Removed
665,Smooth Muscle
666,Stem + TA
667,Enterocyte (Bottom Villus)
668,Smooth Muscle
669,Stromal
670,Smooth Muscle
671,Stem + TA
672,Stromal
673,Stem + TA
674,Stem + TA
675,Stromal
676,Goblet
677,Stromal
678,Enterocyte (Mid Villus)
679,Enterocyte (Bottom Villus)
680,Macrophage + DC
681,Removed
682,Endothelial
683,Goblet
684,Paneth
685,Enterocyte (Bottom Villus)
686,Enterocyte (Mid Villus)
687,Stem + TA
688,Enterocyte (Mid Villus)
689,Removed
690,Enterocyte (Bottom Villus)
691,Smooth Muscle
692,Enterocyte (Bottom Villus)
693,Goblet
694,Enterocyte (Mid Villus)
695,T (CD4+)
696,Stromal
697,Stem + TA
698,Stem + TA
699,Stem + TA
700,Stem + TA
701,Macrophage + DC
702,Stem + TA
703,B (Plasma)
704,Smooth Muscle
705,Stem + TA
706,Removed
707,Stem + TA
708,Enterocyte (Mid Villus)
709,Telocyte
710,Stromal
711,Enterocyte (Bottom Villus)
712,Enterocyte (Mid Villus)
713,Enterocyte (Bottom Villus)
714,Smooth Muscle
715,Goblet
716,Stromal
717,Macrophage + DC
718,Smooth Muscle
719,Enterocyte (Bottom Villus)
720,Enterocyte (Mid Villus)
721,Smooth Muscle
722,Stem + TA
723,Smooth Muscle
724,Stromal
725,Goblet
726,Stem + TA
727,Goblet
728,Stem + TA
729,Smooth Muscle
730,Smooth Muscle
731,Enterocyte (Mid Villus)
732,Macrophage + DC
733,Enterocyte (Bottom Villus)
734,Goblet
735,Enterocyte (Mid Villus)
736,Stem + TA
737,B (Plasma)
738,Stem + TA
739,Enterocyte (Bottom Villus)
740,Enterocyte (Bottom Villus)
741,Smooth Muscle
742,Stem + TA
743,Enterocyte (Mid Villus)
744,Enterocyte (Bottom Villus)
745,Paneth
746,Macrophage + DC
747,Stem + TA
748,Enterocyte (Mid Villus)
749,Stromal
750,Stem + TA
751,Stromal
752,Smooth Muscle
753,ICC
754,Enterocyte (Mid Villus)
755,Enterocyte (Mid Villus)
756,B (Plasma)
757,Smooth Muscle
758,Goblet
759,Enterocyte (Mid Villus)
760,B (Plasma)
761,Stromal
762,Smooth Muscle
763,Enterocyte (Bottom Villus)
764,Smooth Muscle
765,Stem + TA
766,Stem + TA
767,Stem + TA
768,Smooth Muscle
769,Enterocyte (Mid Villus)
770,Goblet
771,Macrophage + DC
772,Stromal
773,Enterocyte (Mid Villus)
774,Enterocyte (Mid Villus)
775,Enterocyte (Mid Villus)
776,Stromal
777,Smooth Muscle
778,B (Plasma)
779,Stem + TA
780,Smooth Muscle
781,Enterocyte (Bottom Villus)
782,Smooth Muscle
783,Enterocyte (Bottom Villus)
784,Macrophage + DC
785,Stem + TA
786,B (Plasma)
787,Smooth Muscle
788,Macrophage + DC
789,Smooth Muscle
790,Telocyte
791,Enterocyte (Mid Villus)
792,Enterocyte (Bottom Villus)
793,Goblet
794,Enterocyte (Mid Villus)
795,Enterocyte (Bottom Villus)
796,Stem + TA
797,Stem + TA
798,Enterocyte (Bottom Villus)
799,Removed
800,Stem + TA
801,Stem + TA
802,Smooth Muscle
803,Stromal
804,Macrophage + DC
805,Stem + TA
806,Paneth
807,Macrophage + DC
808,Enterocyte (Mid Villus)
809,Removed
810,Stem + TA
811,Stem + TA
812,Stem + TA
813,Stem + TA
814,ICC
815,Stem + TA
816,Macrophage + DC
817,Stromal
818,Enterocyte (Bottom Villus)
819,Enterocyte (Mid Villus)
820,Stem + TA
821,Macrophage + DC
822,Smooth Muscle
823,ICC
824,Enterocyte (Mid Villus)
825,Stromal
826,Smooth Muscle
827,T (CD8+)
828,B (Plasma)
829,Goblet
830,Enterocyte (Mid Villus)
831,Stem + TA
832,Smooth Muscle
833,Smooth Muscle
834,Enterocyte (Mid Villus)
835,Stem + TA
836,Stromal
837,Enterocyte (Mid Villus)
838,Smooth Muscle
839,Enterocyte (Mid Villus)
840,Goblet
841,Enterocyte (Bottom Villus)
842,Paneth
843,Enterocyte (Mid Villus)
844,Enterocyte (Mid Villus)
845,Enterocyte (Bottom Villus)
846,Smooth Muscle
847,Enterocyte (Bottom Villus)
848,Enterocyte (Mid Villus)
849,Enterocyte (Mid Villus)
850,Stem + TA
851,Stromal
852,Smooth Muscle
853,Enterocyte (Mid Villus)
854,Enterocyte (Bottom Villus)
855,Smooth Muscle
856,Smooth Muscle
857,Removed
858,Enterocyte (Mid Villus)
859,Stromal
860,Smooth Muscle
861,Stem + TA
862,Endothelial
863,Endothelial
864,Removed
865,Stromal
866,Enterocyte (Bottom Villus)
867,Stromal
868,Smooth Muscle
869,Stromal
870,Stromal
871,Goblet
872,Enterocyte (Mid Villus)
873,Stem + TA
874,Stem + TA
875,Stem + TA
876,Smooth Muscle
877,Enterocyte (Bottom Villus)
878,Macrophage + DC
879,Smooth Muscle
880,B (Plasma)
881,Smooth Muscle
882,Enterocyte (Mid Villus)
883,Stromal
884,Paneth
885,Paneth
886,B (Plasma)
887,Stem + TA
888,Enterocyte (Mid Villus)
889,Telocyte
890,Enterocyte (Mid Villus)
891,Enterocyte (Mid Villus)
892,Stem + TA
893,Enterocyte (Bottom Villus)
894,Stromal
895,Stromal
896,Smooth Muscle
897,Smooth Muscle
898,Stem + TA
899,Smooth Muscle
900,Enterocyte (Mid Villus)
901,Goblet
902,Tuft
903,Goblet
904,Telocyte
905,Enterocyte (Mid Villus)
906,Stem + TA
907,Enterocyte (Bottom Villus)
908,Removed
909,Macrophage + DC
910,Enterocyte (Bottom Villus)
911,Macrophage + DC
912,Removed
913,Stromal
914,Stem + TA
915,Goblet
916,Macrophage + DC
917,Macrophage + DC
918,Endothelial
919,Goblet
920,Telocyte
921,Enterocyte (Mid Villus)
922,Smooth Muscle
923,Smooth Muscle
924,Smooth Muscle
925,Enterocyte (Mid Villus)
926,Stem + TA
927,Enterocyte (Mid Villus)
928,Macrophage + DC
929,Stem + TA
930,ICC
931,Enterocyte (Mid Villus)
932,Tuft
933,Stem + TA
934,Stem + TA
935,Enterocyte (Mid Villus)
936,Enterocyte (Bottom Villus)
937,Stem + TA
938,Removed
939,Stem + TA
940,Macrophage + DC
941,Stem + TA
942,Telocyte
943,Macrophage + DC
944,Enterocyte (Mid Villus)
945,Enterocyte (Mid Villus)
946,Smooth Muscle
947,Goblet
948,Macrophage + DC
949,Endothelial
950,Stem + TA
951,Macrophage + DC
952,B (Plasma)
953,Stem + TA
954,Stem + TA
955,Goblet
956,T (CD8+)
957,Goblet
958,Enterocyte (Mid Villus)
959,Enterocyte (Mid Villus)
960,Enterocyte (Mid Villus)
961,Stem + TA
962,Telocyte
963,Enterocyte (Mid Villus)
964,T (CD8+)
965,Stem + TA
966,Stromal
967,Macrophage + DC
968,Telocyte
969,Stem + TA
970,Goblet
971,Enterocyte (Mid Villus)
972,Enterocyte (Mid Villus)
973,Stem + TA
974,Enterocyte (Mid Villus)
975,Goblet
976,B (Plasma)
977,Enterocyte (Bottom Villus)
978,Stem + TA
979,Enterocyte (Mid Villus)
980,Stem + TA
981,Removed
982,Enterocyte (Mid Villus)
983,Smooth Muscle
984,Stem + TA
985,Enterocyte (Bottom Villus)
986,Smooth Muscle
987,Smooth Muscle
988,Stem + TA
989,Removed
990,Enterocyte (Mid Villus)
991,B (Plasma)
992,Stem + TA
993,Enterocyte (Mid Villus)
994,Removed
995,Enterocyte (Mid Villus)
996,Stromal
997,Stromal
998,B (Plasma)
999,B (Plasma)
1000,Smooth Muscle
1001,Goblet
1002,Stem + TA
1003,Enterocyte (Mid Villus)
1004,Enterocyte (Mid Villus)
1005,Enterocyte (Mid Villus)
1006,B (Plasma)
1007,Removed
1008,Stem + TA
1009,Telocyte
1010,Enterocyte (Mid Villus)
1011,Smooth Muscle
1012,Smooth Muscle
1013,Endothelial
1014,Enterocyte (Mid Villus)
1015,Stem + TA
1016,Goblet
1017,B (Plasma)
1018,Endothelial
1019,Stem + TA
1020,B (Plasma)
1021,Enterocyte (Mid Villus)
1022,T (CD8+)
1023,Goblet
1024,Smooth Muscle
1025,Enterocyte (Mid Villus)
1026,T (CD4+)
1027,Stem + TA
1028,Macrophage + DC
1029,Enterocyte (Mid Villus)
1030,Enterocyte (Mid Villus)
1031,Goblet
1032,Smooth Muscle
1033,Enterocyte (Mid Villus)
1034,Enterocyte (Mid Villus)
1035,T (CD4+)
1036,Stem + TA
1037,Enterocyte (Mid Villus)
1038,Stromal
1039,Smooth Muscle
1040,T (CD4+)
1041,Smooth Muscle
1042,T (CD4+)
1043,Smooth Muscle
1044,Stem + TA
1045,Macrophage + DC
1046,Macrophage + DC
1047,Stem + TA
1048,Smooth Muscle
1049,Stem + TA
1050,Stromal
1051,Goblet
1052,Smooth Muscle
1053,Endothelial
