iteration,node_index,gene_name,cell_id,overlaps_nucleus,degree
3,1677,C3,djckpagf-1,0,0
3,1679,C3,djckpagf-1,0,1
3,1683,C3,djckpagf-1,0,0
3,3749,CTSD,UNASSIGNED,0,0
3,7853,SERPINA3,UNASSIGNED,0,0
3,7858,SERPINA3,djcjhfcd-1,0,0
3,7859,SERPINA3,djckpagf-1,0,0
3,7872,SERPINA3,dgnkncjk-1,0,0
3,3777,CTSD,djcjhfcd-1,0,0
3,7874,SERPINA3,dgnkncjk-1,0,0
3,3779,CTSD,djcjhfcd-1,1,0
3,5826,HLA-DMA,UNASSIGNED,0,1
3,1735,CAPG,djckpagf-1,0,0
3,7880,SERPINA3,dgnkncjk-1,1,0
3,7884,SERPINA3,dgnkaclh-1,1,0
3,3790,CTSD,djcjhfcd-1,1,0
3,1747,CAPG,djcjhfcd-1,1,0
3,3798,CTSD,djcjhfcd-1,1,0
3,1760,CAV1,djcjhfcd-1,0,0
3,3815,CTSD,UNASSIGNED,0,0
3,7914,SERPINA3,dgnkncjk-1,0,0
3,5872,HLA-DMB,djckpagf-1,0,2
3,1789,CCL3L1,UNASSIGNED,0,0
3,3841,CTSD,djcjhfcd-1,1,0
3,1798,CCL3L1,UNASSIGNED,0,0
3,3856,CTSD,djcjhfcd-1,1,0
3,7954,SLC24A3,djcjhfcd-1,0,0
3,7961,SLC2A5,dgnkaclh-1,1,1
3,1837,CCL3L1,UNASSIGNED,0,2
3,3892,CTSH,dgnkaclh-1,0,0
3,3893,CTSH,djcjhfcd-1,0,1
3,5949,HLA-DQA1,UNASSIGNED,0,0
3,8001,SLC2A5,UNASSIGNED,0,1
3,3907,CTSH,UNASSIGNED,0,0
3,3919,CTSL,UNASSIGNED,0,0
3,8021,SNX10,UNASSIGNED,0,0
3,5991,HMOX1,djcjhfcd-1,0,0
3,3943,CTSL,djcjhfcd-1,0,0
3,6007,HMOX1,djcjhfcd-1,1,0
3,3963,CTSL,djcjhfcd-1,0,1
3,3966,CTSL,djcjhfcd-1,0,0
3,1919,CCL3L1,djckpagf-1,0,0
3,6031,HMOX1,dgnkaclh-1,1,1
3,1945,CCL3L1,dgnkncjk-1,0,0
3,6046,HMOX1,djcjhfcd-1,0,1
3,1951,CCL3L1,UNASSIGNED,0,1
3,3999,CTSS,djckpagf-1,0,0
3,4010,CTSS,djckldfg-1,0,1
3,4013,CTSS,djckpagf-1,0,0
3,4015,CX3CR1,UNASSIGNED,0,0
3,4018,CX3CR1,UNASSIGNED,0,1
3,4030,CXCL14,djcjhfcd-1,1,0
3,8132,SPI1,UNASSIGNED,0,1
3,6091,IDH1,dgnkaclh-1,1,0
3,1999,CCL4,dgnkncjk-1,0,0
3,8150,SPI1,UNASSIGNED,0,0
3,8156,SPI1,UNASSIGNED,0,1
3,8179,ST6GAL1,UNASSIGNED,0,0
3,6134,IDH2,djcjhfcd-1,0,0
3,8184,ST6GAL1,djcjhfcd-1,1,0
