iteration,node_index,gene_name,cell_id,overlaps_nucleus,degree
2,767,APOE,djcjhfcd-1,0,4
2,768,APOE,djcjhfcd-1,0,4
2,3841,CTSD,djcjhfcd-1,1,0
2,7425,PTPRC,dgnkaclh-1,0,0
2,5895,HLA-DMB,UNASSIGNED,0,1
2,777,APOE,djcjhfcd-1,0,5
2,778,APOE,djcjhfcd-1,0,3
2,267,ANXA1,djcjhfcd-1,1,0
2,3851,CTSD,djcjhfcd-1,1,0
2,7437,PTPRC,djcjhfcd-1,0,0
2,7433,PTPRC,UNASSIGNED,0,0
2,3855,CTSD,djcjhfcd-1,1,0
2,785,APOE,djckpagf-1,0,0
2,5394,FCGR3B,UNASSIGNED,0,0
2,3859,CTSD,djcjhfcd-1,1,2
2,788,APOE,djcjhfcd-1,0,2
2,7443,PTPRC,UNASSIGNED,0,0
2,1812,CCL3L1,UNASSIGNED,0,0
2,8467,TGFBR1,UNASSIGNED,0,1
2,7454,PTPRC,dgnkaclh-1,0,2
2,6430,ITGAX,djckpagf-1,0,0
2,6875,NCSTN,djcjhfcd-1,1,0
2,8478,THBS1,UNASSIGNED,0,0
2,5929,HLA-DQA1,dgnkaclh-1,0,0
2,2859,CD44,djcjhfcd-1,1,0
2,8495,TMEM119,UNASSIGNED,0,0
2,816,APOE,djcjhfcd-1,0,1
2,5427,FOSL2,djcjhfcd-1,1,0
2,7988,SLC2A5,dgnkaclh-1,0,2
2,3892,CTSH,dgnkaclh-1,0,0
2,311,APLNR,UNASSIGNED,0,1
2,4920,FCGBP,djcjhfcd-1,1,1
2,8503,TNFAIP3,dgnkaclh-1,1,0
2,4923,FCGBP,djcjhfcd-1,1,0
2,3901,CTSH,djckpagf-1,0,1
2,6464,ITGB2,dgnkaclh-1,0,0
2,8513,TNFAIP8,dgnkaclh-1,1,0
2,8001,SLC2A5,UNASSIGNED,0,0
2,5446,FOSL2,djcjhfcd-1,1,0
2,5447,FOSL2,UNASSIGNED,0,0
2,7505,PTPRZ1,dgnkncjk-1,0,0
2,5458,FOSL2,djcjhfcd-1,1,0
2,5459,FOSL2,djcjhfcd-1,1,1
2,3922,CTSL,UNASSIGNED,0,0
2,4948,FCGBP,UNASSIGNED,0,0
2,3411,CHI3L1,dgnkaclh-1,0,0
2,345,APOE,djcjhfcd-1,1,2
2,347,APOE,djcjhfcd-1,1,0
2,350,APOE,UNASSIGNED,0,0
2,3422,CHI3L1,UNASSIGNED,0,0
2,4962,FCGBP,UNASSIGNED,0,1
2,5986,HMOX1,djcjhfcd-1,1,1
