gene_i,gene_j,P_i,P_j,P_ij,P_i_given_j,P_j_given_i,PMI,NPMI
ACE,LGALS3BP,0.0005555748463488316,0.00041668113476162364,0.0,0.0,0.0,,
ACE,LIMD2,0.0005555748463488316,3.4723427896801975e-05,0.0,0.0,0.0,,
ACE,LMOD1,0.0005555748463488316,0.001354213687975277,0.0,0.0,0.0,,
ACE,LRRC70,0.0005555748463488316,3.4723427896801975e-05,0.0,0.0,0.0,,
ACE,LTBP2,0.0005555748463488316,0.03062606340497934,0.0,0.0,0.0,,
ACE,LYVE1,0.0005555748463488316,0.00010417028369040591,0.0,0.0,0.0,,
ACE,MALL,0.0005555748463488316,0.00493072676134588,0.0,0.0,0.0,,
ACE,MARCO,0.0005555748463488316,0.002708427375950554,0.0,0.0,0.0,,
ACE,MET,0.0005555748463488316,0.0005555748463488316,0.0,0.0,0.0,,
ACE,MKI67,0.0005555748463488316,3.4723427896801975e-05,0.0,0.0,0.0,,
ACE,MMP7,0.0005555748463488316,0.0003819577068648217,0.0,0.0,0.0,,
ACE,MMRN1,0.0005555748463488316,0.0004861279905552276,0.0,0.0,0.0,,
ACE,MPEG1,0.0005555748463488316,0.00031251085107121773,0.0,0.0,0.0,,
ACE,MS4A4A,0.0005555748463488316,0.00041668113476162364,0.0,0.0,0.0,,
ACE,MSR1,0.0005555748463488316,0.003889023924441821,0.0,0.0,0.0,,
ACE,MUC5B,0.0005555748463488316,3.4723427896801975e-05,0.0,0.0,0.0,,
ACE,MZB1,0.0005555748463488316,0.020695163026493976,3.4723427896801975e-05,0.0016778523489932886,0.0625,1.1052665539938535,0.10764084793297599
ACE,NAPSA,0.0005555748463488316,0.05753672002500087,0.0,0.0,0.0,,
ACE,NDRG2,0.0005555748463488316,0.0001388937115872079,0.0,0.0,0.0,,
ACE,NECTIN2,0.0005555748463488316,0.0003472342789680197,0.0,0.0,0.0,,
ACE,NFKB1,0.0005555748463488316,0.0002430639952776138,0.0,0.0,0.0,,
ACE,NKX2-1,0.0005555748463488316,0.00510434390082989,0.0,0.0,0.0,,
ACE,NTN4,0.0005555748463488316,0.0026737039480537518,0.0,0.0,0.0,,
ACE,OAS2,0.0005555748463488316,3.4723427896801975e-05,0.0,0.0,0.0,,
ACE,OLR1,0.0005555748463488316,0.013090732317094343,3.4723427896801975e-05,0.0026525198938992045,0.0625,1.5632620336111929,0.15224458772528185
ACE,PCOLCE2,0.0005555748463488316,6.944685579360395e-05,0.0,0.0,0.0,,
ACE,PDGFRA,0.0005555748463488316,0.00041668113476162364,0.0,0.0,0.0,,
ACE,PDPN,0.0005555748463488316,0.00010417028369040591,0.0,0.0,0.0,,
ACE,PECAM1,0.0005555748463488316,0.002534810236466544,0.0,0.0,0.0,,
ACE,PIK3IP1,0.0005555748463488316,0.0007639154137296434,0.0,0.0,0.0,,
ACE,PIM2,0.0005555748463488316,0.00010417028369040591,0.0,0.0,0.0,,
ACE,PLA1A,0.0005555748463488316,3.4723427896801975e-05,0.0,0.0,0.0,,
ACE,PLA2G7,0.0005555748463488316,3.4723427896801975e-05,0.0,0.0,0.0,,
ACE,PLVAP,0.0005555748463488316,0.001215319976388069,3.4723427896801975e-05,0.028571428571428574,0.0625,3.94015915956979,0.3837283154859065
ACE,POSTN,0.0005555748463488316,0.00263898052015695,0.0,0.0,0.0,,
ACE,POU2AF1,0.0005555748463488316,3.4723427896801975e-05,0.0,0.0,0.0,,
ACE,PRF1,0.0005555748463488316,3.4723427896801975e-05,0.0,0.0,0.0,,
ACE,PRG4,0.0005555748463488316,0.00017361713948400986,0.0,0.0,0.0,,
ACE,PROX1,0.0005555748463488316,6.944685579360395e-05,0.0,0.0,0.0,,
ACE,PRX,0.0005555748463488316,0.0002430639952776138,0.0,0.0,0.0,,
ACE,PTCRA,0.0005555748463488316,0.023681377825618945,0.0,0.0,0.0,,
ACE,PTP4A1,0.0005555748463488316,0.10621896593631723,3.4723427896801975e-05,0.0003269042170644002,0.0625,-0.5303361230916999,-0.05164892556713985
ACE,PTPRC,0.0005555748463488316,0.003958470780235425,0.0,0.0,0.0,,
ACE,PVR,0.0005555748463488316,0.0017014479669432967,0.0,0.0,0.0,,
ACE,REST,0.0005555748463488316,6.944685579360395e-05,0.0,0.0,0.0,,
ACE,RETN,0.0005555748463488316,3.4723427896801975e-05,0.0,0.0,0.0,,
ACE,RGS13,0.0005555748463488316,0.0001388937115872079,0.0,0.0,0.0,,
ACE,RGS4,0.0005555748463488316,6.944685579360395e-05,0.0,0.0,0.0,,
ACE,RGS5,0.0005555748463488316,0.00017361713948400986,0.0,0.0,0.0,,
ACE,RHOA,0.0005555748463488316,0.0044793221986874545,0.0,0.0,0.0,,
ACE,RND1,0.0005555748463488316,0.0009028091253168513,0.0,0.0,0.0,,
