cell_id,geometry
124185,"POLYGON ((5701.799805 1435.224976, 5690.75 1437.775024, 5685.012695 1440.112549, 5683.3125 1440.112549, 5682.25 1442.662476, 5683.524902 1445.425049, 5686.924805 1446.487549, 5689.262695 1448.1875, 5702.649902 1441.599976, 5703.5 1439.262451, 5703.287598 1437.137451, 5702.649902 1435.224976, 5701.799805 1435.224976))"
124186,"POLYGON ((5621.262695 1425.875, 5614.462402 1427.574951, 5611.0625 1431.400024, 5609.787598 1443.9375, 5617.862305 1457.75, 5622.962402 1457.962524, 5637.200195 1447.337524, 5638.262695 1444.787476, 5637.625 1438.412476, 5634.862305 1432.675049, 5632.3125 1430.550049, 5621.475098 1426.087524, 5621.262695 1425.875))"
124187,"POLYGON ((5680.337402 1442.449951, 5677.149902 1443.724976, 5675.662598 1445, 5664.399902 1450.525024, 5663.762695 1451.375, 5664.1875 1452.224976, 5665.037598 1452.4375, 5673.112305 1450.737549, 5681.825195 1450.099976, 5683.3125 1446.0625, 5683.100098 1444.574951, 5682.037598 1442.449951, 5680.337402 1442.449951))"
124188,"POLYGON ((5683.524902 1445.637451, 5682.462402 1448.1875, 5681.825195 1450.3125, 5682.462402 1450.737549, 5684.587402 1450.3125, 5685.4375 1449.887451, 5687.350098 1448.824951, 5689.049805 1448.400024, 5688.837402 1447.974976, 5688.200195 1447.762451, 5686.924805 1446.699951, 5683.950195 1445.637451, 5683.524902 1445.637451))"
124189,"POLYGON ((5598.950195 1429.0625, 5593 1432.675049, 5588.325195 1440.75, 5579.1875 1449.462524, 5581.524902 1457.324951, 5586.625 1462.425049, 5590.875 1461.150024, 5594.0625 1458.8125, 5604.049805 1446.912476, 5609.575195 1443.9375, 5611.0625 1430.337524, 5601.287598 1429.0625, 5598.950195 1429.0625))"
124190,"POLYGON ((5678.637695 1450.3125, 5676.725098 1450.737549, 5673.112305 1450.949951, 5665.462402 1452.4375, 5672.049805 1455.837524, 5676.9375 1455.837524, 5679.487305 1455.625, 5680.549805 1455.199951, 5682.037598 1453.925049, 5682.25 1453.287476, 5682.462402 1450.949951, 5681.612305 1450.3125, 5678.637695 1450.3125))"
124191,"POLYGON ((5702.4375 1441.8125, 5689.262695 1448.612549, 5687.5625 1453.712524, 5687.350098 1456.900024, 5688.412598 1462.212524, 5691.600098 1470.925049, 5694.149902 1470.712524, 5698.1875 1469.4375, 5701.587402 1467.525024, 5703.287598 1465.824951, 5703.712402 1452.862549, 5702.649902 1441.8125, 5702.4375 1441.8125))"
124192,"POLYGON ((5689.262695 1448.400024, 5682.674805 1450.949951, 5682.25 1453.925049, 5680.125 1455.625, 5672.475098 1456.050049, 5680.762695 1462.637451, 5689.049805 1473.050049, 5691.174805 1471.349976, 5688.200195 1462.212524, 5687.137695 1456.900024, 5687.350098 1453.712524, 5689.049805 1448.612549, 5689.262695 1448.400024))"
124193,"POLYGON ((5609.362305 1444.150024, 5604.049805 1447.125, 5601.287598 1449.887451, 5597.462402 1455.837524, 5591.087402 1461.150024, 5598.100098 1462.637451, 5610.212402 1466.25, 5611.0625 1466.037476, 5613.612305 1462.637451, 5618.075195 1458.175049, 5613.399902 1449.675049, 5609.787598 1444.150024, 5609.362305 1444.150024))"
124194,"POLYGON ((5663.975098 1452.4375, 5661.212402 1455.199951, 5658.237305 1460.9375, 5658.237305 1470.287476, 5660.575195 1474.962524, 5663.762695 1478.150024, 5667.799805 1480.275024, 5672.6875 1481.125, 5679.700195 1479.849976, 5688.837402 1473.050049, 5678.424805 1460.512451, 5664.825195 1452.4375, 5663.975098 1452.4375))"
124195,"POLYGON ((5638.049805 1446.699951, 5622.112305 1458.599976, 5628.700195 1476.237549, 5631.887695 1481.974976, 5633.799805 1482.612549, 5644.424805 1479.212524, 5649.737305 1472.837524, 5652.075195 1465.612549, 5651.862305 1459.449951, 5648.887695 1452.862549, 5644.424805 1448.824951, 5638.6875 1446.699951, 5638.049805 1446.699951))"
124196,"POLYGON ((5590.450195 1461.362549, 5586.837402 1462.425049, 5585.987305 1464.337524, 5596.399902 1470.925049, 5597.887695 1472.412476, 5599.799805 1476.025024, 5606.8125 1482.612549, 5607.662598 1476.449951, 5609.362305 1469.862549, 5610.637695 1466.462524, 5598.100098 1462.849976, 5591.512695 1461.362549, 5590.450195 1461.362549))"
124197,"POLYGON ((5618.075195 1458.387451, 5610.637695 1466.887451, 5607.024902 1481.974976, 5607.237305 1488.775024, 5612.337402 1491.75, 5617.225098 1492.599976, 5622.112305 1491.962524, 5626.787598 1489.625, 5632.100098 1482.612549, 5628.487305 1476.237549, 5622.112305 1459.025024, 5619.987305 1458.387451, 5618.075195 1458.387451))"
124198,"POLYGON ((5585.774902 1464.550049, 5583.862305 1466.887451, 5581.100098 1473.262451, 5580.674805 1480.487549, 5583.4375 1487.074951, 5588.75 1491.537476, 5604.475098 1490.900024, 5607.024902 1488.775024, 5606.8125 1482.824951, 5599.587402 1476.025024, 5596.399902 1471.137451, 5585.987305 1464.550049, 5585.774902 1464.550049))"
124199,"POLYGON ((5652.924805 1480.275024, 5644.850098 1482.612549, 5639.962402 1487.074951, 5637.200195 1493.025024, 5636.987305 1500.462524, 5642.725098 1510.237549, 5656.112305 1513, 5665.887695 1506.837524, 5669.075195 1495.574951, 5666.100098 1486.650024, 5661.424805 1482.400024, 5653.774902 1480.275024, 5652.924805 1480.275024))"
124200,"POLYGON ((5604.6875 1490.900024, 5588.75 1491.75, 5583.862305 1496.212524, 5581.524902 1500.675049, 5580.462402 1506.199951, 5582.375 1514.0625, 5605.962402 1520.224976, 5614.25 1503.862549, 5612.975098 1499.400024, 5611.0625 1496, 5607.662598 1492.599976, 5604.899902 1491.112549, 5604.6875 1490.900024))"
124201,"POLYGON ((5622.325195 1501.737549, 5618.075195 1502.375, 5614.25 1504.287476, 5605.962402 1520.4375, 5607.662598 1526.599976, 5612.125 1527.237549, 5632.737305 1525.75, 5637.412598 1511.512451, 5635.712402 1508.537476, 5631.887695 1504.712524, 5627.850098 1502.587524, 5622.962402 1501.737549, 5622.325195 1501.737549))"
124202,"POLYGON ((5642.299805 1510.449951, 5637.837402 1512.150024, 5632.737305 1526.387451, 5636.137695 1542.75, 5645.0625 1545.724976, 5651.012695 1545.087524, 5656.75 1542.324951, 5662.700195 1534.887451, 5664.1875 1526.8125, 5661.637695 1518.3125, 5657.174805 1513.425049, 5643.149902 1510.449951, 5642.299805 1510.449951))"
